Team-First
Dender, Union, Anderlecht, Antwerpen, Club brugge, Cercle brugge, Krc genk, Gent, Kv mechelen, Stvv, Standard, Westerlo ,Oh leuven, Charleroi, Kas eupen, Kv korterijk, Rwdm
Div, Date, Time, home_team, away_team, home_score, away_score, ball_possession_home_team, home_shots_on_target, away_shots_on_target, home_shots_wide_of_target, away_shots_wide_of_target, home_corners, away_corners, home_free_kicks, away_free_kicks, home_offside, away_offside, home_fouls, away_fouls, home_yellow_cards, away_yellow_cards, home_red_cards, away_red_cards, home_penalty, away_penalty, home_penalty_missed, away_penalty_missed, home_goal_denied, away_goal_denied, home_substitute, away_substitute, home_own_goal, away_own_goal, second_half_extra_time
# Div
# Date
# Time
# home_team
# away_team
# home_score
# away_score
# ball_possession_home_team
# home_shots_on_target
# away_shots_on_target
# home_shots_wide_of_target
# away_shots_wide_of_target
# home_corners
# away_corners
# home_free_kicks
# away_free_kicks
# home_offside
# away_offside
# home_fouls
# away_fouls
# home_yellow_cards
# away_yellow_cards
# home_red_cards
# away_red_cards
# home_penalty
# away_penalty
# home_penalty_missed
# away_penalty_missed
# home_goal_denied
# away_goal_denied
# home_substitute
# away_substitute
# home_own_goal (the team that get the goal is the home team)
# away_own_goal
# first_half_extra_time
# second_half_extra_time

#                                                             HY,AY,HR,AR,HP,AP,HM,AM,HD,AD,HW,AW,HO,AO,FE,SE
#                                                            , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# matchday 1
B1, 20/08/23, 16:00, 7, 9, 2, 2, 53, 5, 3, 7, 8, 7, 2, 12, 14, 4, 3, 11, 9, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 4, 6
B1, 20/08/23, 18:30, 4, 16, 7, 1, 56, 8, 3, 11, 3, 8, 3, 15, 11, 2, 3, 10, 12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 1, 0, 4, 2
B1, 20/08/23, 19:15, 15, 14, 1, 3, 52, 4, 8, 6, 4, 6, 9, 18, 15, 0, 3, 15, 15, 5, 4, 1, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 4, 8

# matchday 5
B1, 26/08/23, 16:00, 11, 8, 2, 3, 43, 4, 5, 2, 5, 5, 4, 12, 9, 1, 2, 8, 9, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 1, 5, 6
B1, 26/08/23, 18:15, 14, 12, 3, 1, 40, 4, 5, 7, 14, 3, 5, 13, 15, 2, 4, 15, 9, 1, 2, 0, 0, 1, 1, 0, 0, 0, 1, 4, 4, 0, 0, 3, 6
B1, 26/08/23, 20:45, 15, 10, 1, 1, 38, 6, 6, 4, 9, 7, 10, 15, 11, 4, 3, 7, 12, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 5, 7
B1, 27/08/23, 16:00, 9, 5, 0, 2, 62, 4, 8, 13, 9, 8, 8, 19, 9, 1, 1, 8, 18, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 5
B1, 27/08/23, 18:30, 2, 13, 2, 1, 45, 7, 5, 5, 10, 4, 7, 18, 14, 2, 2, 12, 16, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 4, 5
B1, 27/08/23, 20:45, 3, 7, 0, 0, 64, 4, 2, 5, 1, 6, 0, 4, 12, 2, 1, 10, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 3, 0, 0, 0, 5
B1, 28/08/23, 18:30, 16, 1, 2, 3, 48, 7, 8, 2, 3, 3, 8, 19, 9, 1, 5, 8, 14, 2, 3, 0, 0, 0, 0, 0, 0, 0, 2, 4, 5, 0, 0, 8, 7
B1, 28/08/23, 20:45, 4, 6, 1, 1, 58, 3, 5, 6, 6, 10, 3, 8, 17, 1, 1, 16, 7, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 4, 6

# matchday 6
B1, 01/09/23, 20:45, 12, 15, 3, 0, 47, 9, 7, 8, 3, 3, 1, 17, 11, 1, 3, 10, 14, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 2, 2
B1, 02/09/23, 16:00, 5, 11, 2, 1, 47, 6, 1, 7, 6, 14, 1, 17, 17, 2, 1, 16, 16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 2, 4
B1, 02/09/23, 18:15, 8, 14, 1, 0, 61, 6, 1, 9, 5, 6, 4, 14, 11, 1, 1, 10, 13, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 5, 0
B1, 02/09/23, 20:45, 10, 16, 1, 1, 53, 4, 3, 6, 4, 5, 0, 24, 9, 0, 2, 9, 22, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 3, 5
B1, 03/09/23, 13:30, 7, 4, 2, 1, 40, 4, 7, 5, 5, 5, 6, 11, 17, 3, 0, 15, 12, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 5, 7
B1, 03/09/23, 16:00, 1, 3, 2, 2, 39, 7, 5, 7, 1, 8, 4, 13, 11, 2, 3, 9, 12, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 5
B1, 03/09/23, 18:30, 6, 2, 1, 1, 47, 4, 4, 4, 4, 7, 6, 14, 7, 1, 1, 6, 15, 4, 6, 1, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 2, 7
B1, 03/09/23, 19:15, 13, 9, 1, 1, 46, 5, 5, 10, 1, 3, 5, 7, 15, 4, 1, 12, 6, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 4, 5, 0, 0, 0, 6

# matchday 7
B1, 15/09/23, 20:45, 11, 3, 0, 3, 40, 2, 4, 2, 6, 4, 5, 10, 15, 2, 1, 13, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 2, 4
B1, 16/09/23, 16:00, 16, 5, 2, 1, 57, 5, 3, 4, 7, 4, 4, 17, 19, 1, 4, 17, 12, 3, 3, 0, 0, 0, 0, 0, 0, 0, 1, 3, 5, 0, 0, 5, 7
B1, 16/09/23, 18:15, 1, 6, 0, 2, 57, 4, 2, 18, 1, 7, 3, 17, 15, 0, 2, 15, 15, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 3, 4
B1, 16/09/23, 20:45, 4, 13, 4, 2, 56, 10, 8, 7, 3, 5, 5, 7, 8, 0, 1, 8, 6, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 4, 5
B1, 17/09/23, 13:30, 14, 10, 1, 3, 41, 3, 6, 4, 5, 6, 6, 13, 7, 2, 1, 5, 12, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 4, 5, 0, 0, 3, 9
B1, 17/09/23, 16:00, 15, 2, 2, 2, 45, 3, 7, 3, 9, 3, 11, 8, 14, 1, 3, 13, 6, 4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 4, 4, 0, 0, 1, 7
B1, 17/09/23, 18:30, 12, 7, 1, 1, 34, 2, 4, 3, 13, 3, 16, 16, 7, 0, 5, 7, 11, 4, 3, 0, 0, 0, 0, 0, 0, 0, 3, 5, 4, 0, 0, 6, 6
B1, 17/09/23, 19:15, 9, 8, 2, 0, 53, 4, 7, 9, 4, 1, 7, 14, 12, 4, 2, 8, 12, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 5, 3

# matchday 8
